address,oldShares,newShares,deltaShares,originalAmount,correctAmount,correctionAmount,originalAmountRaw,correctAmountRaw,correctionAmountRaw
0x5b27b4f870694f9e47c80baf5494bf7f4faed3a7,20,20,0,306.748466257,1522.842639593,1216.094173336,306748466257,1522842639593,1216094173336
0xc23f4a2e25f995a07c2b5f5b9856e3b456732f75,19,19,0,291.411042944,1446.700507614,1155.28946467,291411042944,1446700507614,1155289464670
0xd952eab7701f9e33c32a9cb72d07b66acd4b6e21,16,16,0,245.398773006,1218.274111675,972.875338669,245398773006,1218274111675,972875338669
0x30adcfc958555563f47ddd7ee02eedb7e17e473e,12,12,0,184.049079754,913.705583756,729.656504002,184049079754,913705583756,729656504002
0x540250b2d01ee00664840d50f5824b9286c8e58e,10,10,0,153.374233128,761.421319796,608.047086668,153374233128,761421319796,608047086668
0xc3d4e860e9dc27c9e34ca62172b1f2e0b628809f,10,10,0,153.374233128,761.421319796,608.047086668,153374233128,761421319796,608047086668
0x1763850e44f03f92a74cd8c2cc31b0888db52001,10,10,0,153.374233128,761.421319796,608.047086668,153374233128,761421319796,608047086668
0xe09c1e372a033582a598b8e67213019aadf9918d,8,8,0,122.699386503,609.137055837,486.437669334,122699386503,609137055837,486437669334
0x9cd6f0c73f094ad07bcba4d1103423f54fa4f1e4,0,6,6,0.0,456.852791878,456.852791878,0,456852791878,456852791878
0x5f4d6eabf85b955f1f8cdf010e2f5d10c2416c71,7,7,0,107.36196319,532.994923857,425.632960667,107361963190,532994923857,425632960667
0xc740db733b2e57a28724668b0b404d99f8877dd7,0,5,5,0.0,380.710659898,380.710659898,0,380710659898,380710659898
0x4bdb5578fa4620f887900af671f1c9d1fe73ae57,15,8,-7,230.061349693,609.137055837,379.075706144,230061349693,609137055837,379075706144
0xfa6796cf206527961c863197064eac2e07e789f1,6,6,0,92.024539877,456.852791878,364.828252001,92024539877,456852791878,364828252001
0x3ed22568410038cc2e2a0e6ce5a646b9107a611e,6,6,0,92.024539877,456.852791878,364.828252001,92024539877,456852791878,364828252001
0xfe0aa17cdf5397a9407e951139283f9446b6fff0,6,6,0,92.024539877,456.852791878,364.828252001,92024539877,456852791878,364828252001
0x359a60ef642c8fadd0398b3de490b0995cf3ea8c,4,4,0,61.349693251,304.568527918,243.218834667,61349693251,304568527918,243218834667
0x6642c93acbdd6abcabbe75528d42df6f1e2783d4,4,4,0,61.349693251,304.568527918,243.218834667,61349693251,304568527918,243218834667
0x8574aadedd0bab02dfac85f841c5100fb8bd4853,4,4,0,61.349693251,304.568527918,243.218834667,61349693251,304568527918,243218834667
0x239026fcb4b030f4a0678333f69e56453e05cf8b,0,3,3,0.0,228.426395939,228.426395939,0,228426395939,228426395939
0xe5a295cefdf41887b4e3b0e0f9b54778fa61f65d,0,3,3,0.0,228.426395939,228.426395939,0,228426395939,228426395939
0x22af76eee61926ac731497c4e22ec0e081b26397,3,3,0,46.012269938,228.426395939,182.414126001,46012269938,228426395939,182414126001
0xfeb92b21996d22d3be1d6e2b7142b60112d3d46f,3,3,0,46.012269938,228.426395939,182.414126001,46012269938,228426395939,182414126001
0x14c0d76e2904563f5488bc9ad44f704254a93294,3,3,0,46.012269938,228.426395939,182.414126001,46012269938,228426395939,182414126001
0x7f7437668371dfcee5d640dba92abebe027b0962,0,2,2,0.0,152.284263959,152.284263959,0,152284263959,152284263959
0x31997a1bcf664949c1d3d0b1e16d54d28127e53f,0,2,2,0.0,152.284263959,152.284263959,0,152284263959,152284263959
0x0f0ad17e0e35fa9465919a10c186eee0ae4501b6,5,3,-2,76.687116564,228.426395939,151.739279375,76687116564,228426395939,151739279375
0xcc84844f8f8364444f44df83d2caed28eb1e0689,2,2,0,30.674846625,152.284263959,121.609417334,30674846625,152284263959,121609417334
0x30538d5e62e8c9f2a0dd4f75b0c3d556a74db93f,2,2,0,30.674846625,152.284263959,121.609417334,30674846625,152284263959,121609417334
0x489c747cacd6e20d867e67c8da3fc455c5062b78,2,2,0,30.674846625,152.284263959,121.609417334,30674846625,152284263959,121609417334
0x9ffb6f238abc614dc58d37ffd6195e65b3e87eba,2,2,0,30.674846625,152.284263959,121.609417334,30674846625,152284263959,121609417334
0x0cd0afe300957ecacdd2aa9182914997d9ecca9d,4,2,-2,61.349693251,152.284263959,90.934570708,61349693251,152284263959,90934570708
0xa6c9644f3526de2e2520ab44a33b8be344b8c6ae,7,2,-5,107.36196319,152.284263959,44.922300769,107361963190,152284263959,44922300769
